ApplicantID	MandiriTestID	Score
MANDIRI20210053	3	82
MANDIRI20210054	1	84
MANDIRI20210054	2	98
MANDIRI20210055	1	61
MANDIRI20210055	2	68
MANDIRI20210056	1	55
MANDIRI20210056	2	87
MANDIRI20210057	1	99
MANDIRI20210057	3	83
MANDIRI20210058	1	84
MANDIRI20210058	3	86
MANDIRI20210059	1	50
MANDIRI20210059	2	51
MANDIRI20210060	1	91
MANDIRI20210060	2	52
MANDIRI20210062	1	83
MANDIRI20210062	2	64
MANDIRI20210063	1	64
MANDIRI20210063	2	55
MANDIRI20210064	1	94
MANDIRI20210064	2	81
MANDIRI20210066	1	69
MANDIRI20210066	3	57
MANDIRI20210067	1	55
MANDIRI20210067	3	89
MANDIRI20210068	1	72
MANDIRI20210068	2	93
MANDIRI20210069	1	84
MANDIRI20210069	2	72
MANDIRI20210070	1	64
MANDIRI20210070	2	62
MANDIRI20210071	1	99
MANDIRI20210071	3	75
MANDIRI20210072	1	65
MANDIRI20210072	2	72
MANDIRI20210073	1	75
MANDIRI20210073	2	57
MANDIRI20210075	1	75
MANDIRI20210075	2	56
MANDIRI20210076	1	89
MANDIRI20210076	2	51
MANDIRI20210077	1	80
MANDIRI20210077	3	93
MANDIRI20210078	1	62
MANDIRI20210078	3	96
MANDIRI20210079	1	51
MANDIRI20210079	3	52
MANDIRI20210080	1	84
MANDIRI20210080	3	76
MANDIRI20210082	1	84
MANDIRI20210082	2	91
MANDIRI20210083	1	50
MANDIRI20210083	2	81
MANDIRI20210084	1	81
MANDIRI20210084	2	75
MANDIRI20210085	1	54
MANDIRI20210085	3	59
MANDIRI20210086	1	84
MANDIRI20210086	2	50
MANDIRI20210087	1	96
MANDIRI20210087	2	83
MANDIRI20210088	1	55
MANDIRI20210088	2	89
MANDIRI20210089	1	88
MANDIRI20210089	3	72
MANDIRI20210090	1	57
MANDIRI20210090	3	98
MANDIRI20210091	1	50
MANDIRI20210091	2	61
MANDIRI20210092	1	56
MANDIRI20210092	3	50
MANDIRI20210094	1	52
MANDIRI20210094	3	95
MANDIRI20210096	1	90
MANDIRI20210096	3	53
MANDIRI20210097	1	80
MANDIRI20210097	3	84
MANDIRI20210098	1	77
MANDIRI20210098	3	67
MANDIRI20210099	1	76
MANDIRI20210099	3	89
MANDIRI20210100	1	86
MANDIRI20210100	3	86
MANDIRI20210101	1	93
MANDIRI20210101	3	62
MANDIRI20210102	1	60
MANDIRI20210102	2	75
MANDIRI20210103	1	85
MANDIRI20210103	2	100
MANDIRI20210104	1	85
MANDIRI20210104	3	66
MANDIRI20210105	1	51
MANDIRI20210105	2	56
MANDIRI20210106	1	53
MANDIRI20210106	2	75
MANDIRI20210107	1	65
MANDIRI20210107	3	88
MANDIRI20210108	1	55
MANDIRI20210108	3	71
MANDIRI20210109	1	93
MANDIRI20210109	3	92
MANDIRI20210110	1	78
MANDIRI20210110	3	59
MANDIRI20210112	1	88
MANDIRI20210112	2	79
MANDIRI20210113	1	91
MANDIRI20210113	3	68
MANDIRI20210114	1	88
MANDIRI20210114	2	67
MANDIRI20210115	1	91
MANDIRI20210115	2	65
MANDIRI20210116	1	78
MANDIRI20210116	3	95
MANDIRI20210117	1	71
MANDIRI20210117	2	60
MANDIRI20210118	1	71
MANDIRI20210118	3	77
MANDIRI20210119	1	74
MANDIRI20210119	3	100
MANDIRI20210120	1	70
MANDIRI20210120	2	72
MANDIRI20210121	1	65
MANDIRI20210121	3	67
MANDIRI20210122	1	50
MANDIRI20210122	2	93
MANDIRI20210124	1	50
MANDIRI20210124	2	59
MANDIRI20210125	1	71
MANDIRI20210125	2	100
MANDIRI20210126	1	82
MANDIRI20210126	2	85
MANDIRI20210128	1	98
MANDIRI20210128	2	60
MANDIRI20210129	1	64
MANDIRI20210129	2	51
MANDIRI20210130	1	68
MANDIRI20210130	2	71
MANDIRI20210131	1	89
MANDIRI20210131	3	73
MANDIRI20210132	1	68
MANDIRI20210132	2	71
MANDIRI20210134	1	57
MANDIRI20210134	3	67
MANDIRI20210136	1	52
MANDIRI20210136	2	75
MANDIRI20210137	1	62
MANDIRI20210137	3	68
MANDIRI20210139	1	93
MANDIRI20210139	2	90
MANDIRI20210140	1	60
MANDIRI20210140	2	87
MANDIRI20210141	1	57
MANDIRI20210141	3	66
MANDIRI20210142	1	77
MANDIRI20210142	2	54
MANDIRI20210143	1	53
MANDIRI20210143	3	78
MANDIRI20210144	1	69
MANDIRI20210144	2	70
MANDIRI20210145	1	56
MANDIRI20210145	3	71
MANDIRI20210146	1	94
MANDIRI20210146	2	82
MANDIRI20210147	1	72
MANDIRI20210147	3	89
MANDIRI20210148	1	72
MANDIRI20210148	2	62
MANDIRI20210149	1	54
MANDIRI20210149	3	78
MANDIRI20210150	1	70
MANDIRI20210150	2	83
MANDIRI20210151	1	58
MANDIRI20210151	3	57
MANDIRI20210152	1	76
MANDIRI20210152	2	76
MANDIRI20210153	1	50
MANDIRI20210153	3	72
MANDIRI20210154	1	100
MANDIRI20210154	2	98
MANDIRI20210155	1	85
MANDIRI20210155	2	100
MANDIRI20210157	1	75
MANDIRI20210157	2	93
MANDIRI20210158	1	60
MANDIRI20210158	3	52
MANDIRI20210159	1	77
MANDIRI20210159	2	63
MANDIRI20210160	1	69
MANDIRI20210160	2	68
MANDIRI20210163	1	63
MANDIRI20210163	3	57
MANDIRI20210165	1	61
MANDIRI20210165	2	74
MANDIRI20210166	1	69
MANDIRI20210166	3	55
MANDIRI20210168	1	99
MANDIRI20210168	2	82
MANDIRI20210169	1	55
MANDIRI20210169	3	63
MANDIRI20210170	1	75
MANDIRI20210170	3	98
MANDIRI20210172	1	88
MANDIRI20210172	3	53
MANDIRI20210173	1	71
MANDIRI20210173	3	98
MANDIRI20210174	1	50
MANDIRI20210174	2	58
MANDIRI20210176	1	83
MANDIRI20210176	3	81
MANDIRI20210177	1	87
MANDIRI20210177	3	86
MANDIRI20210178	1	51
MANDIRI20210178	3	50
MANDIRI20210179	1	72
MANDIRI20210179	3	51
MANDIRI20210180	1	87
MANDIRI20210180	3	82
MANDIRI20210181	1	98
MANDIRI20210181	3	85
MANDIRI20210182	1	80
MANDIRI20210182	3	54
MANDIRI20210183	1	62
MANDIRI20210183	3	53
MANDIRI20210184	1	66
MANDIRI20210184	2	52
MANDIRI20210185	1	71
MANDIRI20210185	3	55
MANDIRI20210186	1	51
MANDIRI20210186	3	52
MANDIRI20210187	1	99
MANDIRI20210187	2	71
MANDIRI20210188	1	97
MANDIRI20210188	3	75
MANDIRI20210190	1	67
MANDIRI20210190	3	69
MANDIRI20210191	1	70
MANDIRI20210191	2	84
MANDIRI20210192	1	68
MANDIRI20210192	3	91
MANDIRI20210193	1	66
MANDIRI20210193	2	53
MANDIRI20210194	1	79
MANDIRI20210194	3	75
MANDIRI20210195	1	52
MANDIRI20210195	2	79
MANDIRI20210196	1	52
MANDIRI20210196	3	83
MANDIRI20210197	1	62
MANDIRI20210197	2	93
MANDIRI20210198	1	50
MANDIRI20210198	3	86
MANDIRI20210200	1	90
MANDIRI20210200	2	74
MANDIRI20210201	1	65
MANDIRI20210201	2	65
MANDIRI20210202	1	58
MANDIRI20210202	2	72
MANDIRI20210203	1	79
MANDIRI20210203	3	82
MANDIRI20210204	1	53
MANDIRI20210204	2	57
MANDIRI20210206	1	96
MANDIRI20210206	3	63
MANDIRI20210207	1	72
MANDIRI20210207	3	70
MANDIRI20210208	1	60
MANDIRI20210208	2	76
MANDIRI20210210	1	68
MANDIRI20210210	2	54
MANDIRI20210211	1	71
MANDIRI20210211	3	61
MANDIRI20210212	1	58
MANDIRI20210212	3	68
MANDIRI20210213	1	78
MANDIRI20210213	2	73
MANDIRI20210214	1	76
MANDIRI20210214	2	87
MANDIRI20210215	1	50
MANDIRI20210215	3	71
MANDIRI20210216	1	77
MANDIRI20210216	2	59
MANDIRI20210217	1	92
MANDIRI20210217	2	67
MANDIRI20210218	1	72
MANDIRI20210218	2	57
MANDIRI20210220	1	86
MANDIRI20210220	2	78
MANDIRI20210221	1	51
MANDIRI20210221	2	84
MANDIRI20210222	1	68
MANDIRI20210222	2	99
MANDIRI20210223	1	66
MANDIRI20210223	3	61
MANDIRI20210224	1	87
MANDIRI20210224	2	61
MANDIRI20210225	1	67
MANDIRI20210225	2	73
MANDIRI20210226	1	73
MANDIRI20210226	3	70
MANDIRI20210228	1	75
MANDIRI20210228	3	55
MANDIRI20210229	1	74
MANDIRI20210229	3	84
MANDIRI20210230	1	64
MANDIRI20210230	2	55
MANDIRI20210232	1	61
MANDIRI20210232	2	65
MANDIRI20210233	1	51
MANDIRI20210233	3	61
MANDIRI20210235	1	84
MANDIRI20210235	3	64
MANDIRI20210237	1	76
MANDIRI20210237	3	78
MANDIRI20210238	1	80
MANDIRI20210238	2	63
MANDIRI20210239	1	58
MANDIRI20210239	2	66
MANDIRI20210240	1	81
MANDIRI20210240	2	90
MANDIRI20210241	1	92
MANDIRI20210241	3	84
MANDIRI20210242	1	95
MANDIRI20210242	2	64
MANDIRI20210243	1	74
MANDIRI20210243	3	75
MANDIRI20210244	1	77
MANDIRI20210244	2	81
MANDIRI20210245	1	72
MANDIRI20210245	3	77
MANDIRI20210246	1	71
MANDIRI20210246	3	56
MANDIRI20210247	1	53
MANDIRI20210247	3	55
MANDIRI20210248	1	90
MANDIRI20210248	2	79
MANDIRI20210249	1	55
MANDIRI20210249	3	66
MANDIRI20210250	1	61
MANDIRI20210250	3	66
MANDIRI20210251	1	68
MANDIRI20210251	2	94
MANDIRI20210252	1	59
MANDIRI20210252	2	80
MANDIRI20210253	1	67
MANDIRI20210253	3	94
MANDIRI20210254	1	50
MANDIRI20210254	2	96
MANDIRI20210257	1	73
MANDIRI20210257	2	72
MANDIRI20210258	1	72
MANDIRI20210258	2	87
MANDIRI20210259	1	89
MANDIRI20210259	2	82
MANDIRI20210261	1	81
MANDIRI20210261	3	60
MANDIRI20210262	1	94
MANDIRI20210262	3	71
MANDIRI20210263	1	73
MANDIRI20210263	3	64
MANDIRI20210264	1	55
MANDIRI20210264	3	88
MANDIRI20210265	1	70
MANDIRI20210265	3	96
MANDIRI20210266	1	95
MANDIRI20210266	2	91
MANDIRI20210267	1	63
MANDIRI20210267	2	70
MANDIRI20210268	1	96
MANDIRI20210268	2	74
MANDIRI20210269	1	61
MANDIRI20210269	3	81
MANDIRI20210270	1	57
MANDIRI20210270	3	74
MANDIRI20210271	1	78
MANDIRI20210271	2	100
MANDIRI20210272	1	57
MANDIRI20210272	2	50
MANDIRI20210273	1	53
MANDIRI20210273	3	79
MANDIRI20210274	1	56
MANDIRI20210274	2	56
MANDIRI20210275	1	71
MANDIRI20210275	3	70
MANDIRI20210276	1	77
MANDIRI20210276	3	51
MANDIRI20210277	1	66
MANDIRI20210277	3	59
MANDIRI20210278	1	90
MANDIRI20210278	2	91
MANDIRI20210279	1	86
MANDIRI20210279	2	57
MANDIRI20210282	1	88
MANDIRI20210282	2	59
MANDIRI20210283	1	67
MANDIRI20210283	2	79
MANDIRI20210284	1	91
MANDIRI20210284	3	97
MANDIRI20210285	1	55
MANDIRI20210285	2	87
MANDIRI20210286	1	56
MANDIRI20210286	2	95
MANDIRI20210287	1	94
MANDIRI20210287	3	77
MANDIRI20210288	1	91
MANDIRI20210288	3	73
MANDIRI20210289	1	91
MANDIRI20210289	3	50
MANDIRI20210290	1	67
MANDIRI20210290	2	52
MANDIRI20210291	1	52
MANDIRI20210291	2	59
MANDIRI20210292	1	91
MANDIRI20210292	3	81
MANDIRI20210293	1	92
MANDIRI20210293	2	87
MANDIRI20210294	1	96
MANDIRI20210294	3	65
MANDIRI20210295	1	71
MANDIRI20210295	3	54
MANDIRI20210296	1	64
MANDIRI20210296	3	60
MANDIRI20210297	1	82
MANDIRI20210297	2	68
MANDIRI20210300	1	63
MANDIRI20210300	3	75
MANDIRI20210301	1	81
MANDIRI20210301	2	56
MANDIRI20210303	1	77
MANDIRI20210303	3	86
MANDIRI20210304	1	88
MANDIRI20210304	2	82
MANDIRI20210305	1	92
MANDIRI20210305	2	98
MANDIRI20210306	1	58
MANDIRI20210306	2	93
MANDIRI20210307	1	76
MANDIRI20210307	3	75
MANDIRI20210308	1	74
MANDIRI20210308	2	70
MANDIRI20210309	1	53
MANDIRI20210309	2	87
MANDIRI20210310	1	78
MANDIRI20210310	2	67
MANDIRI20210312	1	56
MANDIRI20210312	3	94
MANDIRI20210313	1	80
MANDIRI20210313	2	95
MANDIRI20210314	1	53
MANDIRI20210314	2	81
MANDIRI20210315	1	88
MANDIRI20210315	2	57
MANDIRI20210316	1	88
MANDIRI20210316	2	92
MANDIRI20210317	1	75
MANDIRI20210317	2	85
MANDIRI20210318	1	89
MANDIRI20210318	2	94
MANDIRI20210319	1	72
MANDIRI20210319	2	94
MANDIRI20210320	1	85
MANDIRI20210320	3	65
MANDIRI20210321	1	98
MANDIRI20210321	2	87
MANDIRI20210322	1	64
MANDIRI20210322	3	84
MANDIRI20210324	1	87
MANDIRI20210324	2	56
MANDIRI20210325	1	84
MANDIRI20210325	3	75
MANDIRI20210326	1	63
MANDIRI20210326	3	82
MANDIRI20210327	1	57
MANDIRI20210327	3	84
MANDIRI20210329	1	63
MANDIRI20210329	2	80
MANDIRI20210330	1	99
MANDIRI20210330	2	54
MANDIRI20210331	1	69
MANDIRI20210331	3	82
MANDIRI20210332	1	91
MANDIRI20210332	3	96
MANDIRI20210333	1	97
MANDIRI20210333	2	77
MANDIRI20210334	1	73
MANDIRI20210334	2	76
MANDIRI20210335	1	72
MANDIRI20210335	2	76
MANDIRI20210336	1	68
MANDIRI20210336	2	52
MANDIRI20210337	1	71
MANDIRI20210337	2	61
MANDIRI20210338	1	57
MANDIRI20210338	3	70
MANDIRI20210339	1	53
MANDIRI20210339	3	76
MANDIRI20210340	1	90
MANDIRI20210340	2	64
MANDIRI20210341	1	59
MANDIRI20210341	3	59
MANDIRI20210342	1	53
MANDIRI20210342	2	80
MANDIRI20210344	1	64
MANDIRI20210344	2	77
MANDIRI20210346	1	71
MANDIRI20210346	2	72
MANDIRI20210347	1	83
MANDIRI20210347	2	59
MANDIRI20210348	1	88
MANDIRI20210348	3	87
MANDIRI20210349	1	55
MANDIRI20210349	3	74
MANDIRI20210350	1	89
MANDIRI20210350	3	67
MANDIRI20210351	1	79
MANDIRI20210351	2	68
MANDIRI20210352	1	89
MANDIRI20210352	3	95
MANDIRI20210353	1	52
MANDIRI20210353	2	66
MANDIRI20210354	1	71
MANDIRI20210354	2	90
MANDIRI20210355	1	66
MANDIRI20210355	2	57
MANDIRI20210356	1	77
MANDIRI20210356	2	68
MANDIRI20210357	1	95
MANDIRI20210357	2	83
MANDIRI20210358	1	92
MANDIRI20210358	2	51
MANDIRI20210362	1	82
MANDIRI20210362	2	85
MANDIRI20210363	1	67
MANDIRI20210363	2	81
MANDIRI20210364	1	50
MANDIRI20210364	2	62
MANDIRI20210365	1	94
MANDIRI20210365	3	75
MANDIRI20210366	1	97
MANDIRI20210366	3	53
MANDIRI20210367	1	78
MANDIRI20210367	3	83
MANDIRI20210368	1	64
MANDIRI20210368	3	67
MANDIRI20210369	1	63
MANDIRI20210369	3	50
MANDIRI20210370	1	63
MANDIRI20210370	2	100
MANDIRI20210371	1	82
MANDIRI20210371	2	67
MANDIRI20210372	1	67
MANDIRI20210372	2	74
MANDIRI20210373	1	97
MANDIRI20210373	3	54
MANDIRI20210374	1	83
MANDIRI20210374	3	93
MANDIRI20210375	1	51
MANDIRI20210375	3	86
MANDIRI20210377	1	52
MANDIRI20210377	3	52
MANDIRI20210378	1	68
MANDIRI20210378	3	81
MANDIRI20210379	1	75
MANDIRI20210379	3	78
MANDIRI20210380	1	75
MANDIRI20210380	3	93
MANDIRI20210381	1	59
MANDIRI20210381	2	84
MANDIRI20210382	1	72
MANDIRI20210382	3	84
MANDIRI20210383	1	92
MANDIRI20210383	2	72
MANDIRI20210384	1	89
MANDIRI20210384	3	80
MANDIRI20210385	1	76
MANDIRI20210385	2	75
MANDIRI20210386	1	64
MANDIRI20210386	3	97
MANDIRI20210387	1	73
MANDIRI20210387	2	88
MANDIRI20210388	1	51
MANDIRI20210388	3	92
MANDIRI20210389	1	73
MANDIRI20210389	2	95
MANDIRI20210390	1	85
MANDIRI20210390	3	74
MANDIRI20210392	1	72
MANDIRI20210392	3	94
MANDIRI20210393	1	63
MANDIRI20210393	3	91
MANDIRI20210394	1	68
MANDIRI20210394	2	75
MANDIRI20210395	1	93
MANDIRI20210395	3	55
MANDIRI20210396	1	60
MANDIRI20210396	2	87
MANDIRI20210397	1	77
MANDIRI20210397	2	100
MANDIRI20210398	1	85
MANDIRI20210398	3	85
MANDIRI20210399	1	62
MANDIRI20210399	2	64
MANDIRI20210400	1	66
MANDIRI20210400	3	74
MANDIRI20210401	1	69
MANDIRI20210401	2	56
MANDIRI20210402	1	100
MANDIRI20210402	3	79
MANDIRI20210403	1	98
MANDIRI20210403	3	80
MANDIRI20210405	1	59
MANDIRI20210405	3	98
MANDIRI20210406	1	62
MANDIRI20210406	3	99
MANDIRI20210407	1	63
MANDIRI20210407	3	80
MANDIRI20210409	1	84
MANDIRI20210409	2	60
MANDIRI20210410	1	97
MANDIRI20210410	3	58
MANDIRI20210411	1	84
MANDIRI20210411	2	65
MANDIRI20210412	1	53
MANDIRI20210412	3	77
MANDIRI20210413	1	62
MANDIRI20210413	3	54
MANDIRI20210414	1	62
MANDIRI20210414	3	50
MANDIRI20210415	1	96
MANDIRI20210415	2	73
MANDIRI20210416	1	98
MANDIRI20210416	2	57
MANDIRI20210418	1	98
MANDIRI20210418	2	80
MANDIRI20210419	1	51
MANDIRI20210419	3	94
MANDIRI20210420	1	68
MANDIRI20210420	3	53
MANDIRI20210421	1	97
MANDIRI20210421	2	50
MANDIRI20210422	1	93
MANDIRI20210422	2	59
MANDIRI20210424	1	52
MANDIRI20210424	3	60
MANDIRI20210425	1	67
MANDIRI20210425	3	63
MANDIRI20210427	1	74
MANDIRI20210427	3	55
MANDIRI20210428	1	50
MANDIRI20210428	3	91
MANDIRI20210429	1	66
MANDIRI20210429	2	56
MANDIRI20210430	1	55
MANDIRI20210430	3	75
MANDIRI20210431	1	67
MANDIRI20210431	3	94
MANDIRI20210432	1	58
MANDIRI20210432	2	83
MANDIRI20210433	1	70
MANDIRI20210433	3	73
MANDIRI20210434	1	50
MANDIRI20210434	3	92
MANDIRI20210435	1	82
MANDIRI20210435	2	100
MANDIRI20210436	1	75
MANDIRI20210436	2	82
MANDIRI20210437	1	62
MANDIRI20210437	3	88
MANDIRI20210438	1	82
MANDIRI20210438	2	51
MANDIRI20210439	1	67
MANDIRI20210439	2	92
MANDIRI20210440	1	69
MANDIRI20210440	2	55
MANDIRI20210441	1	86
MANDIRI20210441	2	84
MANDIRI20210442	1	65
MANDIRI20210442	3	51
MANDIRI20210443	1	74
MANDIRI20210443	3	77
MANDIRI20210445	1	57
MANDIRI20210445	3	54
MANDIRI20210446	1	100
MANDIRI20210446	3	90
MANDIRI20210447	1	77
MANDIRI20210447	2	88
MANDIRI20210448	1	76
MANDIRI20210448	2	50
MANDIRI20210449	1	99
MANDIRI20210449	2	99
MANDIRI20210450	1	95
MANDIRI20210450	3	58
MANDIRI20210451	1	77
MANDIRI20210451	3	60
MANDIRI20210452	1	79
MANDIRI20210452	2	100
MANDIRI20210453	1	53
MANDIRI20210453	2	73
MANDIRI20210454	1	79
MANDIRI20210454	2	62
MANDIRI20210455	1	67
MANDIRI20210455	3	83
MANDIRI20210456	1	70
MANDIRI20210456	3	92
MANDIRI20210457	1	84
MANDIRI20210457	2	78
MANDIRI20210459	1	50
MANDIRI20210459	2	74
MANDIRI20210460	1	89
MANDIRI20210460	3	69
MANDIRI20210463	1	85
MANDIRI20210463	2	82
MANDIRI20210464	1	87
MANDIRI20210464	3	97
MANDIRI20210466	1	61
MANDIRI20210466	3	90
MANDIRI20210468	1	80
MANDIRI20210468	2	60
MANDIRI20210469	1	82
MANDIRI20210469	2	81
MANDIRI20210470	1	83
MANDIRI20210470	3	87
MANDIRI20210471	1	96
MANDIRI20210471	2	72
MANDIRI20210472	1	84
MANDIRI20210472	2	89
MANDIRI20210475	1	80
MANDIRI20210475	2	90
MANDIRI20210476	1	86
MANDIRI20210476	2	100
MANDIRI20210477	1	61
MANDIRI20210477	2	79
MANDIRI20210478	1	96
MANDIRI20210478	3	59
MANDIRI20210480	1	59
MANDIRI20210480	2	56
MANDIRI20210481	1	73
MANDIRI20210481	3	53
MANDIRI20210482	1	100
MANDIRI20210482	3	86
MANDIRI20210484	1	100
MANDIRI20210484	3	91
MANDIRI20210486	1	78
MANDIRI20210486	2	68
MANDIRI20210487	1	55
MANDIRI20210487	3	95
MANDIRI20210488	1	76
MANDIRI20210488	2	75
MANDIRI20210489	1	56
MANDIRI20210489	2	99
MANDIRI20210490	1	93
MANDIRI20210490	3	90
MANDIRI20210492	1	64
MANDIRI20210492	3	74
MANDIRI20210493	1	90
MANDIRI20210493	3	78
MANDIRI20210494	1	96
MANDIRI20210494	3	98
MANDIRI20210496	1	75
MANDIRI20210496	3	91
MANDIRI20210497	1	85
MANDIRI20210497	2	68
MANDIRI20210498	1	70
MANDIRI20210498	2	61
MANDIRI20210499	1	51
MANDIRI20210499	3	62
MANDIRI20210500	1	93
MANDIRI20210500	2	55
MANDIRI20210501	1	86
MANDIRI20210501	2	78
MANDIRI20210502	1	77
MANDIRI20210502	2	61
MANDIRI20210503	1	70
MANDIRI20210503	2	50
MANDIRI20210504	1	88
MANDIRI20210504	3	57
MANDIRI20210505	1	69
MANDIRI20210505	2	83
MANDIRI20210506	1	91
MANDIRI20210506	2	80
MANDIRI20210507	1	75
MANDIRI20210507	3	73
MANDIRI20210509	1	54
MANDIRI20210509	2	79
MANDIRI20210510	1	64
MANDIRI20210510	2	54
MANDIRI20210512	1	77
MANDIRI20210512	3	59
MANDIRI20210513	1	87
MANDIRI20210513	2	66
MANDIRI20210514	1	57
MANDIRI20210514	3	85
MANDIRI20210515	1	100
MANDIRI20210515	2	86
MANDIRI20210516	1	86
MANDIRI20210516	3	53
MANDIRI20210517	1	68
MANDIRI20210517	3	63
MANDIRI20210518	1	95
MANDIRI20210518	2	78
MANDIRI20210519	1	51
MANDIRI20210519	3	70
MANDIRI20210520	1	89
MANDIRI20210520	3	92
MANDIRI20210521	1	97
MANDIRI20210521	2	73
MANDIRI20210523	1	80
MANDIRI20210523	2	99
MANDIRI20210524	1	51
MANDIRI20210524	3	93
MANDIRI20210525	1	92
MANDIRI20210525	2	92
MANDIRI20210526	1	78
MANDIRI20210526	2	92
MANDIRI20210527	1	51
MANDIRI20210527	3	87
MANDIRI20210528	1	66
MANDIRI20210528	2	90
MANDIRI20210529	1	65
MANDIRI20210529	2	65
MANDIRI20210530	1	78
MANDIRI20210530	2	100
MANDIRI20210531	1	100
MANDIRI20210531	2	66
MANDIRI20210532	1	71
MANDIRI20210532	2	69
MANDIRI20210533	1	94
MANDIRI20210533	3	78
MANDIRI20210534	1	99
MANDIRI20210534	2	85
MANDIRI20210535	1	92
MANDIRI20210535	2	67
MANDIRI20210537	1	82
MANDIRI20210537	3	90
MANDIRI20210538	1	99
MANDIRI20210538	3	57
MANDIRI20210540	1	64
MANDIRI20210540	2	85
MANDIRI20210541	1	95
MANDIRI20210541	3	66
MANDIRI20210542	1	73
MANDIRI20210542	2	63
MANDIRI20210544	1	66
MANDIRI20210544	2	77
MANDIRI20210545	1	79
MANDIRI20210545	3	81
MANDIRI20210547	1	74
MANDIRI20210547	3	50
MANDIRI20210548	1	58
MANDIRI20210548	3	70
MANDIRI20210549	1	91
MANDIRI20210549	3	67
MANDIRI20210551	1	99
MANDIRI20210551	2	52
MANDIRI20210552	1	61
MANDIRI20210552	2	67
MANDIRI20210553	1	65
MANDIRI20210553	3	76
MANDIRI20210554	1	81
MANDIRI20210554	3	87
MANDIRI20210555	1	81
MANDIRI20210555	3	93
MANDIRI20210556	1	90
MANDIRI20210556	2	99
MANDIRI20210558	1	77
MANDIRI20210558	3	92
MANDIRI20210559	1	70
MANDIRI20210559	2	82
MANDIRI20210560	1	62
MANDIRI20210560	3	58
MANDIRI20210561	1	77
MANDIRI20210561	3	83
MANDIRI20210562	1	73
MANDIRI20210562	2	76
MANDIRI20210563	1	72
MANDIRI20210563	3	84
MANDIRI20210564	1	53
MANDIRI20210564	3	97
MANDIRI20210565	1	97
MANDIRI20210565	3	68
MANDIRI20210566	1	95
MANDIRI20210566	3	89
MANDIRI20210567	1	51
MANDIRI20210567	3	69
MANDIRI20210569	1	69
MANDIRI20210569	2	56
MANDIRI20210570	1	59
MANDIRI20210570	3	58
MANDIRI20210572	1	58
MANDIRI20210572	3	51
MANDIRI20210573	1	76
MANDIRI20210573	2	56
MANDIRI20210574	1	98
MANDIRI20210574	3	58
MANDIRI20210575	1	76
MANDIRI20210575	2	63
MANDIRI20210576	1	73
MANDIRI20210576	3	99
MANDIRI20210577	1	57
MANDIRI20210577	3	57
MANDIRI20210578	1	75
MANDIRI20210578	2	92
MANDIRI20210580	1	100
MANDIRI20210580	3	96
MANDIRI20210581	1	90
MANDIRI20210581	3	53
MANDIRI20210582	1	61
MANDIRI20210582	2	62
MANDIRI20210583	1	71
