ApplicantID	UTBKSubjectID	Score
MANDIRI20210023	9	743
MANDIRI20210023	10	470
MANDIRI20210023	11	690
MANDIRI20210023	12	785
MANDIRI20210024	1	771
MANDIRI20210024	2	624
MANDIRI20210024	3	639
MANDIRI20210024	4	490
MANDIRI20210024	9	465
MANDIRI20210024	10	504
MANDIRI20210024	11	495
MANDIRI20210024	12	482
MANDIRI20210026	1	529
MANDIRI20210026	2	730
MANDIRI20210026	3	566
MANDIRI20210026	4	695
MANDIRI20210026	9	520
MANDIRI20210026	10	740
MANDIRI20210026	11	451
MANDIRI20210026	12	562
MANDIRI20210028	5	472
MANDIRI20210028	6	644
MANDIRI20210028	7	672
MANDIRI20210028	8	560
MANDIRI20210028	9	764
MANDIRI20210028	10	682
MANDIRI20210028	11	479
MANDIRI20210028	12	463
MANDIRI20210030	1	739
MANDIRI20210030	2	467
MANDIRI20210030	3	641
MANDIRI20210030	4	622
MANDIRI20210030	9	785
MANDIRI20210030	10	503
MANDIRI20210030	11	678
MANDIRI20210030	12	699
MANDIRI20210032	1	632
MANDIRI20210032	2	508
MANDIRI20210032	3	796
MANDIRI20210032	4	644
MANDIRI20210032	9	583
MANDIRI20210032	10	727
MANDIRI20210032	11	732
MANDIRI20210032	12	736
MANDIRI20210033	1	729
MANDIRI20210033	2	681
MANDIRI20210033	3	747
MANDIRI20210033	4	655
MANDIRI20210033	9	782
MANDIRI20210033	10	537
MANDIRI20210033	11	675
MANDIRI20210033	12	564
MANDIRI20210034	1	545
MANDIRI20210034	2	747
MANDIRI20210034	3	623
MANDIRI20210034	4	578
MANDIRI20210034	9	483
MANDIRI20210034	10	481
MANDIRI20210034	11	671
MANDIRI20210034	12	613
MANDIRI20210036	1	596
MANDIRI20210036	2	711
MANDIRI20210036	3	700
MANDIRI20210036	4	673
MANDIRI20210036	9	772
MANDIRI20210036	10	666
MANDIRI20210036	11	774
MANDIRI20210036	12	667
MANDIRI20210038	1	612
MANDIRI20210038	2	759
MANDIRI20210038	3	583
MANDIRI20210038	4	543
MANDIRI20210038	9	597
MANDIRI20210038	10	728
MANDIRI20210038	11	633
MANDIRI20210038	12	692
MANDIRI20210039	1	477
MANDIRI20210039	2	565
MANDIRI20210039	3	588
MANDIRI20210039	4	493
MANDIRI20210039	9	580
MANDIRI20210039	10	569
MANDIRI20210039	11	608
MANDIRI20210039	12	557
MANDIRI20210040	1	738
MANDIRI20210040	2	706
MANDIRI20210040	3	695
MANDIRI20210040	4	728
MANDIRI20210040	9	591
MANDIRI20210040	10	602
MANDIRI20210040	11	580
MANDIRI20210040	12	654
MANDIRI20210042	5	647
MANDIRI20210042	6	563
MANDIRI20210042	7	598
MANDIRI20210042	8	594
MANDIRI20210042	9	502
MANDIRI20210042	10	673
MANDIRI20210042	11	564
MANDIRI20210042	12	605
MANDIRI20210044	1	598
MANDIRI20210044	2	539
MANDIRI20210044	3	612
MANDIRI20210044	4	531
MANDIRI20210044	9	674
MANDIRI20210044	10	782
MANDIRI20210044	11	640
MANDIRI20210044	12	675
MANDIRI20210046	1	771
MANDIRI20210046	2	681
MANDIRI20210046	3	456
MANDIRI20210046	4	714
MANDIRI20210046	9	522
MANDIRI20210046	10	496
MANDIRI20210046	11	598
MANDIRI20210046	12	455
MANDIRI20210047	5	554
MANDIRI20210047	6	568
MANDIRI20210047	7	777
MANDIRI20210047	8	621
MANDIRI20210047	9	658
MANDIRI20210047	10	709
MANDIRI20210047	11	528
MANDIRI20210047	12	660
MANDIRI20210048	1	588
MANDIRI20210048	2	798
MANDIRI20210048	3	751
MANDIRI20210048	4	694
MANDIRI20210048	9	483
MANDIRI20210048	10	585
MANDIRI20210048	11	464
MANDIRI20210048	12	667
MANDIRI20210049	1	570
MANDIRI20210049	2	569
MANDIRI20210049	3	640
MANDIRI20210049	4	685
MANDIRI20210049	9	750
MANDIRI20210049	10	552
MANDIRI20210049	11	460
MANDIRI20210049	12	642
MANDIRI20210052	5	453
MANDIRI20210052	6	647
MANDIRI20210052	7	728
MANDIRI20210052	8	597
MANDIRI20210052	9	683
MANDIRI20210052	10	499
MANDIRI20210052	11	481
MANDIRI20210052	12	683
MANDIRI20210053	1	482
MANDIRI20210053	2	779
MANDIRI20210053	3	787
MANDIRI20210053	4	735
MANDIRI20210053	9	766
MANDIRI20210053	10	695
MANDIRI20210053	11	578
MANDIRI20210053	12	754
MANDIRI20210057	5	491
MANDIRI20210057	6	668
MANDIRI20210057	7	767
MANDIRI20210057	8	629
MANDIRI20210057	9	610
MANDIRI20210057	10	738
MANDIRI20210057	11	550
MANDIRI20210057	12	675
MANDIRI20210058	1	735
MANDIRI20210058	2	741
MANDIRI20210058	3	740
MANDIRI20210058	4	558
MANDIRI20210058	9	718
MANDIRI20210058	10	708
MANDIRI20210058	11	474
MANDIRI20210058	12	606
MANDIRI20210060	5	673
MANDIRI20210060	6	458
MANDIRI20210060	7	621
MANDIRI20210060	8	679
MANDIRI20210060	9	556
MANDIRI20210060	10	721
MANDIRI20210060	11	748
MANDIRI20210060	12	776
MANDIRI20210062	1	594
MANDIRI20210062	2	720
MANDIRI20210062	3	657
MANDIRI20210062	4	624
MANDIRI20210062	9	515
MANDIRI20210062	10	765
MANDIRI20210062	11	744
MANDIRI20210062	12	700
MANDIRI20210064	1	560
MANDIRI20210064	2	584
MANDIRI20210064	3	599
MANDIRI20210064	4	710
MANDIRI20210064	9	683
MANDIRI20210064	10	706
MANDIRI20210064	11	541
MANDIRI20210064	12	687
MANDIRI20210066	1	700
MANDIRI20210066	2	633
MANDIRI20210066	3	459
MANDIRI20210066	4	775
MANDIRI20210066	9	706
MANDIRI20210066	10	772
MANDIRI20210066	11	765
MANDIRI20210066	12	789
MANDIRI20210069	5	657
MANDIRI20210069	6	583
MANDIRI20210069	7	606
MANDIRI20210069	8	776
MANDIRI20210069	9	491
MANDIRI20210069	10	458
MANDIRI20210069	11	626
MANDIRI20210069	12	519
MANDIRI20210070	1	637
MANDIRI20210070	2	491
MANDIRI20210070	3	760
MANDIRI20210070	4	734
MANDIRI20210070	9	568
MANDIRI20210070	10	556
MANDIRI20210070	11	607
MANDIRI20210070	12	625
MANDIRI20210071	5	638
MANDIRI20210071	6	679
MANDIRI20210071	7	728
MANDIRI20210071	8	485
MANDIRI20210071	9	666
MANDIRI20210071	10	463
MANDIRI20210071	11	566
MANDIRI20210071	12	609
MANDIRI20210073	1	487
MANDIRI20210073	2	457
MANDIRI20210073	3	513
MANDIRI20210073	4	498
MANDIRI20210073	9	747
MANDIRI20210073	10	562
MANDIRI20210073	11	591
MANDIRI20210073	12	461
MANDIRI20210078	5	584
MANDIRI20210078	6	743
MANDIRI20210078	7	717
MANDIRI20210078	8	541
MANDIRI20210078	9	767
MANDIRI20210078	10	587
MANDIRI20210078	11	477
MANDIRI20210078	12	474
MANDIRI20210079	5	565
MANDIRI20210079	6	675
MANDIRI20210079	7	673
MANDIRI20210079	8	791
MANDIRI20210079	9	789
MANDIRI20210079	10	451
MANDIRI20210079	11	752
MANDIRI20210079	12	779
MANDIRI20210080	1	492
MANDIRI20210080	2	507
MANDIRI20210080	3	684
MANDIRI20210080	4	578
MANDIRI20210080	9	683
MANDIRI20210080	10	577
MANDIRI20210080	11	609
MANDIRI20210080	12	587
MANDIRI20210082	5	575
MANDIRI20210082	6	695
MANDIRI20210082	7	717
MANDIRI20210082	8	600
MANDIRI20210082	9	525
MANDIRI20210082	10	671
MANDIRI20210082	11	759
MANDIRI20210082	12	726
MANDIRI20210087	1	694
MANDIRI20210087	2	532
MANDIRI20210087	3	685
MANDIRI20210087	4	469
MANDIRI20210087	9	754
MANDIRI20210087	10	470
MANDIRI20210087	11	761
MANDIRI20210087	12	494
MANDIRI20210088	5	455
MANDIRI20210088	6	792
MANDIRI20210088	7	476
MANDIRI20210088	8	735
MANDIRI20210088	9	556
MANDIRI20210088	10	519
MANDIRI20210088	11	798
MANDIRI20210088	12	682
MANDIRI20210092	5	543
MANDIRI20210092	6	581
MANDIRI20210092	7	458
MANDIRI20210092	8	746
MANDIRI20210092	9	741
MANDIRI20210092	10	734
MANDIRI20210092	11	755
MANDIRI20210092	12	795
MANDIRI20210094	5	640
MANDIRI20210094	6	767
MANDIRI20210094	7	800
MANDIRI20210094	8	607
MANDIRI20210094	9	622
MANDIRI20210094	10	579
MANDIRI20210094	11	455
MANDIRI20210094	12	732
MANDIRI20210096	1	476
MANDIRI20210096	2	480
MANDIRI20210096	3	521
MANDIRI20210096	4	521
MANDIRI20210096	9	616
MANDIRI20210096	10	560
MANDIRI20210096	11	743
MANDIRI20210096	12	774
MANDIRI20210097	5	513
MANDIRI20210097	6	642
MANDIRI20210097	7	745
MANDIRI20210097	8	688
MANDIRI20210097	9	584
MANDIRI20210097	10	602
MANDIRI20210097	11	666
MANDIRI20210097	12	465
MANDIRI20210098	1	576
MANDIRI20210098	2	503
MANDIRI20210098	3	601
MANDIRI20210098	4	485
MANDIRI20210098	9	554
MANDIRI20210098	10	457
MANDIRI20210098	11	463
MANDIRI20210098	12	596
MANDIRI20210099	1	476
MANDIRI20210099	2	596
MANDIRI20210099	3	621
MANDIRI20210099	4	638
MANDIRI20210099	9	691
MANDIRI20210099	10	707
MANDIRI20210099	11	501
MANDIRI20210099	12	635
MANDIRI20210101	5	762
MANDIRI20210101	6	738
MANDIRI20210101	7	484
MANDIRI20210101	8	602
MANDIRI20210101	9	645
MANDIRI20210101	10	533
MANDIRI20210101	11	792
MANDIRI20210101	12	541
MANDIRI20210103	5	461
MANDIRI20210103	6	685
MANDIRI20210103	7	518
MANDIRI20210103	8	660
MANDIRI20210103	9	607
MANDIRI20210103	10	483
MANDIRI20210103	11	537
MANDIRI20210103	12	541
MANDIRI20210105	1	643
MANDIRI20210105	2	671
MANDIRI20210105	3	653
MANDIRI20210105	4	775
MANDIRI20210105	9	500
MANDIRI20210105	10	622
MANDIRI20210105	11	735
MANDIRI20210105	12	611
MANDIRI20210106	1	657
MANDIRI20210106	2	506
MANDIRI20210106	3	459
MANDIRI20210106	4	630
MANDIRI20210106	9	522
MANDIRI20210106	10	706
MANDIRI20210106	11	712
MANDIRI20210106	12	781
MANDIRI20210109	1	636
MANDIRI20210109	2	564
MANDIRI20210109	3	781
MANDIRI20210109	4	770
MANDIRI20210109	9	689
MANDIRI20210109	10	667
MANDIRI20210109	11	565
MANDIRI20210109	12	680
MANDIRI20210110	1	775
MANDIRI20210110	2	752
MANDIRI20210110	3	618
MANDIRI20210110	4	694
MANDIRI20210110	9	673
MANDIRI20210110	10	502
MANDIRI20210110	11	544
MANDIRI20210110	12	664
MANDIRI20210113	5	652
MANDIRI20210113	6	587
MANDIRI20210113	7	470
MANDIRI20210113	8	651
MANDIRI20210113	9	562
MANDIRI20210113	10	487
MANDIRI20210113	11	761
MANDIRI20210113	12	658
MANDIRI20210114	5	485
MANDIRI20210114	6	502
MANDIRI20210114	7	693
MANDIRI20210114	8	702
MANDIRI20210114	9	498
MANDIRI20210114	10	637
MANDIRI20210114	11	514
MANDIRI20210114	12	645
MANDIRI20210115	5	748
MANDIRI20210115	6	698
MANDIRI20210115	7	656
MANDIRI20210115	8	481
MANDIRI20210115	9	710
MANDIRI20210115	10	500
MANDIRI20210115	11	776
MANDIRI20210115	12	500
MANDIRI20210116	1	491
MANDIRI20210116	2	606
MANDIRI20210116	3	749
MANDIRI20210116	4	748
MANDIRI20210116	9	760
MANDIRI20210116	10	493
MANDIRI20210116	11	546
MANDIRI20210116	12	479
MANDIRI20210117	5	745
MANDIRI20210117	6	739
MANDIRI20210117	7	585
MANDIRI20210117	8	524
MANDIRI20210117	9	758
MANDIRI20210117	10	782
MANDIRI20210117	11	616
MANDIRI20210117	12	585
MANDIRI20210119	5	574
MANDIRI20210119	6	702
MANDIRI20210119	7	522
MANDIRI20210119	8	553
MANDIRI20210119	9	735
MANDIRI20210119	10	480
MANDIRI20210119	11	697
MANDIRI20210119	12	641
MANDIRI20210120	1	758
MANDIRI20210120	2	561
MANDIRI20210120	3	726
MANDIRI20210120	4	726
MANDIRI20210120	9	738
MANDIRI20210120	10	732
MANDIRI20210120	11	502
MANDIRI20210120	12	533
MANDIRI20210121	1	720
MANDIRI20210121	2	580
MANDIRI20210121	3	533
MANDIRI20210121	4	659
MANDIRI20210121	9	485
MANDIRI20210121	10	576
MANDIRI20210121	11	707
MANDIRI20210121	12	512
MANDIRI20210122	1	706
MANDIRI20210122	2	731
MANDIRI20210122	3	551
MANDIRI20210122	4	684
MANDIRI20210122	9	611
MANDIRI20210122	10	572
MANDIRI20210122	11	534
MANDIRI20210122	12	494
MANDIRI20210124	1	625
MANDIRI20210124	2	786
MANDIRI20210124	3	623
MANDIRI20210124	4	702
MANDIRI20210124	9	652
MANDIRI20210124	10	798
MANDIRI20210124	11	696
MANDIRI20210124	12	534
MANDIRI20210126	1	718
MANDIRI20210126	2	456
MANDIRI20210126	3	491
MANDIRI20210126	4	652
MANDIRI20210126	9	554
MANDIRI20210126	10	658
MANDIRI20210126	11	537
MANDIRI20210126	12	526
MANDIRI20210128	1	532
MANDIRI20210128	2	556
MANDIRI20210128	3	639
MANDIRI20210128	4	556
MANDIRI20210128	9	657
MANDIRI20210128	10	621
MANDIRI20210128	11	739
MANDIRI20210128	12	787
MANDIRI20210129	5	521
MANDIRI20210129	6	646
MANDIRI20210129	7	528
MANDIRI20210129	8	586
MANDIRI20210129	9	456
MANDIRI20210129	10	517
MANDIRI20210129	11	621
MANDIRI20210129	12	695
MANDIRI20210131	1	789
MANDIRI20210131	2	603
MANDIRI20210131	3	646
MANDIRI20210131	4	661
MANDIRI20210131	9	750
MANDIRI20210131	10	662
MANDIRI20210131	11	516
MANDIRI20210131	12	725
MANDIRI20210134	5	790
MANDIRI20210134	6	696
MANDIRI20210134	7	491
MANDIRI20210134	8	570
MANDIRI20210134	9	521
MANDIRI20210134	10	599
MANDIRI20210134	11	514
MANDIRI20210134	12	665
MANDIRI20210136	5	642
MANDIRI20210136	6	782
MANDIRI20210136	7	491
MANDIRI20210136	8	653
MANDIRI20210136	9	702
MANDIRI20210136	10	511
MANDIRI20210136	11	654
MANDIRI20210136	12	590
MANDIRI20210137	1	659
MANDIRI20210137	2	745
MANDIRI20210137	3	507
MANDIRI20210137	4	685
MANDIRI20210137	9	734
MANDIRI20210137	10	611
MANDIRI20210137	11	660
MANDIRI20210137	12	704
MANDIRI20210139	5	657
MANDIRI20210139	6	502
MANDIRI20210139	7	643
MANDIRI20210139	8	698
MANDIRI20210139	9	601
MANDIRI20210139	10	589
MANDIRI20210139	11	644
MANDIRI20210139	12	485
MANDIRI20210140	5	707
MANDIRI20210140	6	473
MANDIRI20210140	7	696
MANDIRI20210140	8	505
MANDIRI20210140	9	739
MANDIRI20210140	10	558
MANDIRI20210140	11	688
MANDIRI20210140	12	791
MANDIRI20210141	1	519
MANDIRI20210141	2	676
MANDIRI20210141	3	626
MANDIRI20210141	4	773
MANDIRI20210141	9	741
MANDIRI20210141	10	490
MANDIRI20210141	11	540
MANDIRI20210141	12	771
MANDIRI20210142	1	703
MANDIRI20210142	2	558
MANDIRI20210142	3	668
MANDIRI20210142	4	495
MANDIRI20210142	9	669
MANDIRI20210142	10	467
MANDIRI20210142	11	699
MANDIRI20210142	12	776
MANDIRI20210144	5	455
MANDIRI20210144	6	707
MANDIRI20210144	7	489
MANDIRI20210144	8	539
MANDIRI20210144	9	451
MANDIRI20210144	10	657
MANDIRI20210144	11	649
MANDIRI20210144	12	473
MANDIRI20210146	5	717
MANDIRI20210146	6	673
MANDIRI20210146	7	731
MANDIRI20210146	8	578
MANDIRI20210146	9	649
MANDIRI20210146	10	722
MANDIRI20210146	11	631
MANDIRI20210146	12	750
MANDIRI20210147	5	499
MANDIRI20210147	6	518
MANDIRI20210147	7	572
MANDIRI20210147	8	676
MANDIRI20210147	9	596
MANDIRI20210147	10	542
MANDIRI20210147	11	783
MANDIRI20210147	12	523
MANDIRI20210148	1	510
MANDIRI20210148	2	506
MANDIRI20210148	3	779
MANDIRI20210148	4	601
MANDIRI20210148	9	540
MANDIRI20210148	10	730
MANDIRI20210148	11	678
MANDIRI20210148	12	722
MANDIRI20210151	5	565
MANDIRI20210151	6	774
MANDIRI20210151	7	792
MANDIRI20210151	8	604
MANDIRI20210151	9	790
MANDIRI20210151	10	800
MANDIRI20210151	11	667
MANDIRI20210151	12	791
MANDIRI20210155	5	516
MANDIRI20210155	6	460
MANDIRI20210155	7	551
MANDIRI20210155	8	781
MANDIRI20210155	9	468
MANDIRI20210155	10	646
MANDIRI20210155	11	491
MANDIRI20210155	12	486
MANDIRI20210157	1	472
MANDIRI20210157	2	780
MANDIRI20210157	3	685
MANDIRI20210157	4	461
MANDIRI20210157	9	639
MANDIRI20210157	10	564
MANDIRI20210157	11	611
MANDIRI20210157	12	563
MANDIRI20210159	1	768
MANDIRI20210159	2	471
MANDIRI20210159	3	728
MANDIRI20210159	4	539
MANDIRI20210159	9	537
MANDIRI20210159	10	735
MANDIRI20210159	11	494
MANDIRI20210159	12	572
MANDIRI20210160	1	780
MANDIRI20210160	2	541
MANDIRI20210160	3	729
MANDIRI20210160	4	531
MANDIRI20210160	9	614
MANDIRI20210160	10	504
MANDIRI20210160	11	524
MANDIRI20210160	12	519
MANDIRI20210163	5	715
MANDIRI20210163	6	617
MANDIRI20210163	7	486
MANDIRI20210163	8	478
MANDIRI20210163	9	620
MANDIRI20210163	10	633
MANDIRI20210163	11	568
MANDIRI20210163	12	565
MANDIRI20210165	5	762
MANDIRI20210165	6	488
MANDIRI20210165	7	552
MANDIRI20210165	8	712
MANDIRI20210165	9	625
MANDIRI20210165	10	626
MANDIRI20210165	11	602
MANDIRI20210165	12	787
MANDIRI20210166	5	478
MANDIRI20210166	6	540
MANDIRI20210166	7	799
MANDIRI20210166	8	634
MANDIRI20210166	9	752
MANDIRI20210166	10	452
MANDIRI20210166	11	504
MANDIRI20210166	12	618
MANDIRI20210168	5	706
MANDIRI20210168	6	465
MANDIRI20210168	7	534
MANDIRI20210168	8	592
MANDIRI20210168	9	691
MANDIRI20210168	10	686
MANDIRI20210168	11	704
MANDIRI20210168	12	506
MANDIRI20210173	5	552
MANDIRI20210173	6	659
MANDIRI20210173	7	688
MANDIRI20210173	8	468
MANDIRI20210173	9	537
MANDIRI20210173	10	741
MANDIRI20210173	11	633
MANDIRI20210173	12	687
MANDIRI20210174	1	644
MANDIRI20210174	2	584
MANDIRI20210174	3	647
MANDIRI20210174	4	625
MANDIRI20210174	9	713
MANDIRI20210174	10	616
MANDIRI20210174	11	705
MANDIRI20210174	12	472
MANDIRI20210176	5	487
MANDIRI20210176	6	796
MANDIRI20210176	7	628
MANDIRI20210176	8	759
MANDIRI20210176	9	562
MANDIRI20210176	10	767
MANDIRI20210176	11	713
MANDIRI20210176	12	496
MANDIRI20210177	1	602
MANDIRI20210177	2	642
MANDIRI20210177	3	570
MANDIRI20210177	4	741
MANDIRI20210177	9	587
MANDIRI20210177	10	753
MANDIRI20210177	11	587
MANDIRI20210177	12	631
MANDIRI20210179	5	583
MANDIRI20210179	6	594
MANDIRI20210179	7	653
MANDIRI20210179	8	554
MANDIRI20210179	9	721
MANDIRI20210179	10	581
MANDIRI20210179	11	745
MANDIRI20210179	12	741
MANDIRI20210181	1	799
MANDIRI20210181	2	709
MANDIRI20210181	3	567
MANDIRI20210181	4	781
MANDIRI20210181	9	474
MANDIRI20210181	10	675
MANDIRI20210181	11	455
MANDIRI20210181	12	662
MANDIRI20210183	1	797
MANDIRI20210183	2	495
MANDIRI20210183	3	706
MANDIRI20210183	4	591
MANDIRI20210183	9	548
MANDIRI20210183	10	692
MANDIRI20210183	11	752
MANDIRI20210183	12	457
MANDIRI20210184	1	546
MANDIRI20210184	2	618
MANDIRI20210184	3	477
MANDIRI20210184	4	450
MANDIRI20210184	9	705
MANDIRI20210184	10	657
MANDIRI20210184	11	645
MANDIRI20210184	12	657
MANDIRI20210190	1	568
MANDIRI20210190	2	667
MANDIRI20210190	3	596
MANDIRI20210190	4	722
MANDIRI20210190	9	670
MANDIRI20210190	10	612
MANDIRI20210190	11	736
MANDIRI20210190	12	543
MANDIRI20210191	1	606
MANDIRI20210191	2	636
MANDIRI20210191	3	511
MANDIRI20210191	4	752
MANDIRI20210191	9	794
MANDIRI20210191	10	667
MANDIRI20210191	11	691
MANDIRI20210191	12	690
MANDIRI20210192	1	766
MANDIRI20210192	2	481
MANDIRI20210192	3	456
MANDIRI20210192	4	653
MANDIRI20210192	9	650
MANDIRI20210192	10	632
MANDIRI20210192	11	641
MANDIRI20210192	12	629
MANDIRI20210193	1	750
MANDIRI20210193	2	686
MANDIRI20210193	3	524
MANDIRI20210193	4	739
MANDIRI20210193	9	541
MANDIRI20210193	10	589
MANDIRI20210193	11	510
MANDIRI20210193	12	477
MANDIRI20210194	1	589
MANDIRI20210194	2	493
MANDIRI20210194	3	799
MANDIRI20210194	4	649
MANDIRI20210194	9	763
MANDIRI20210194	10	707
MANDIRI20210194	11	502
MANDIRI20210194	12	715
MANDIRI20210195	5	772
MANDIRI20210195	6	740
MANDIRI20210195	7	738
MANDIRI20210195	8	644
MANDIRI20210195	9	597
MANDIRI20210195	10	788
MANDIRI20210195	11	783
MANDIRI20210195	12	739
MANDIRI20210196	1	450
MANDIRI20210196	2	782
MANDIRI20210196	3	616
MANDIRI20210196	4	640
MANDIRI20210196	9	509
MANDIRI20210196	10	470
MANDIRI20210196	11	595
MANDIRI20210196	12	705
MANDIRI20210198	1	556
MANDIRI20210198	2	473
MANDIRI20210198	3	586
MANDIRI20210198	4	683
MANDIRI20210198	9	548
MANDIRI20210198	10	749
MANDIRI20210198	11	641
MANDIRI20210198	12	792
MANDIRI20210201	1	508
MANDIRI20210201	2	725
MANDIRI20210201	3	700
MANDIRI20210201	4	702
MANDIRI20210201	9	713
MANDIRI20210201	10	566
MANDIRI20210201	11	724
MANDIRI20210201	12	495
MANDIRI20210202	5	796
MANDIRI20210202	6	795
MANDIRI20210202	7	768
MANDIRI20210202	8	629
MANDIRI20210202	9	680
MANDIRI20210202	10	511
MANDIRI20210202	11	521
MANDIRI20210202	12	643
MANDIRI20210204	1	631
MANDIRI20210204	2	749
MANDIRI20210204	3	787
MANDIRI20210204	4	636
MANDIRI20210204	9	601
MANDIRI20210204	10	552
MANDIRI20210204	11	560
MANDIRI20210204	12	780
MANDIRI20210207	1	673
MANDIRI20210207	2	766
MANDIRI20210207	3	617
MANDIRI20210207	4	666
MANDIRI20210207	9	563
MANDIRI20210207	10	518
MANDIRI20210207	11	566
MANDIRI20210207	12	726
MANDIRI20210208	5	564
MANDIRI20210208	6	610
MANDIRI20210208	7	528
MANDIRI20210208	8	571
MANDIRI20210208	9	574
MANDIRI20210208	10	572
MANDIRI20210208	11	519
MANDIRI20210208	12	542
MANDIRI20210213	1	729
MANDIRI20210213	2	619
MANDIRI20210213	3	777
MANDIRI20210213	4	561
MANDIRI20210213	9	609
MANDIRI20210213	10	774
MANDIRI20210213	11	687
MANDIRI20210213	12	522
MANDIRI20210215	5	473
MANDIRI20210215	6	690
MANDIRI20210215	7	589
MANDIRI20210215	8	667
MANDIRI20210215	9	655
MANDIRI20210215	10	653
MANDIRI20210215	11	541
MANDIRI20210215	12	522
MANDIRI20210217	1	601
MANDIRI20210217	2	511
MANDIRI20210217	3	503
MANDIRI20210217	4	467
MANDIRI20210217	9	798
MANDIRI20210217	10	507
MANDIRI20210217	11	728
MANDIRI20210217	12	786
MANDIRI20210218	1	650
MANDIRI20210218	2	538
MANDIRI20210218	3	566
MANDIRI20210218	4	791
MANDIRI20210218	9	777
MANDIRI20210218	10	619
MANDIRI20210218	11	797
MANDIRI20210218	12	573
MANDIRI20210220	1	558
MANDIRI20210220	2	457
MANDIRI20210220	3	613
MANDIRI20210220	4	740
MANDIRI20210220	9	627
MANDIRI20210220	10	645
MANDIRI20210220	11	547
MANDIRI20210220	12	453
MANDIRI20210223	1	532
MANDIRI20210223	2	772
MANDIRI20210223	3	543
MANDIRI20210223	4	691
MANDIRI20210223	9	606
MANDIRI20210223	10	783
MANDIRI20210223	11	666
MANDIRI20210223	12	532
MANDIRI20210224	1	690
MANDIRI20210224	2	575
MANDIRI20210224	3	710
MANDIRI20210224	4	588
MANDIRI20210224	9	793
MANDIRI20210224	10	496
MANDIRI20210224	11	546
MANDIRI20210224	12	650
MANDIRI20210226	5	741
MANDIRI20210226	6	470
MANDIRI20210226	7	504
MANDIRI20210226	8	499
MANDIRI20210226	9	497
MANDIRI20210226	10	794
MANDIRI20210226	11	682
MANDIRI20210226	12	593
MANDIRI20210228	5	745
MANDIRI20210228	6	742
MANDIRI20210228	7	665
MANDIRI20210228	8	645
MANDIRI20210228	9	479
MANDIRI20210228	10	737
MANDIRI20210228	11	707
MANDIRI20210228	12	585
MANDIRI20210233	1	588
MANDIRI20210233	2	730
MANDIRI20210233	3	593
MANDIRI20210233	4	678
MANDIRI20210233	9	591
MANDIRI20210233	10	679
MANDIRI20210233	11	641
MANDIRI20210233	12	634
MANDIRI20210235	1	788
MANDIRI20210235	2	570
MANDIRI20210235	3	563
MANDIRI20210235	4	511
MANDIRI20210235	9	580
