ID	ApplicantID	Name	Type	Output	Scale	Organizer	WebURL	Score
62	MANDIRI20210038	Lomba 62	4	2	4	PT XYZ	https://ptxyz.com	65
63	MANDIRI20210039	Lomba 63	3	3	1	PT XYZ	https://ptxyz.com	83
64	MANDIRI20210039	Lomba 64	5	2	3	PT XYZ	https://ptxyz.com	62
65	MANDIRI20210040	Lomba 65	3	3	3	PT XYZ	https://ptxyz.com	88
66	MANDIRI20210040	Lomba 66	3	3	3	PT XYZ	https://ptxyz.com	88
67	MANDIRI20210041	Lomba 67	2	3	1	PT XYZ	https://ptxyz.com	80
68	MANDIRI20210041	Lomba 68	1	3	1	PT XYZ	https://ptxyz.com	67
69	MANDIRI20210042	Lomba 69	3	4	3	PT XYZ	https://ptxyz.com	85
70	MANDIRI20210042	Lomba 70	3	1	1	PT XYZ	https://ptxyz.com	84
71	MANDIRI20210044	Lomba 71	4	3	3	PT XYZ	https://ptxyz.com	54
72	MANDIRI20210044	Lomba 72	3	3	2	PT XYZ	https://ptxyz.com	75
73	MANDIRI20210045	Lomba 73	2	1	2	PT XYZ	https://ptxyz.com	62
74	MANDIRI20210045	Lomba 74	3	1	3	PT XYZ	https://ptxyz.com	50
75	MANDIRI20210046	Lomba 75	3	4	4	PT XYZ	https://ptxyz.com	89
76	MANDIRI20210046	Lomba 76	5	4	3	PT XYZ	https://ptxyz.com	66
77	MANDIRI20210047	Lomba 77	1	2	3	PT XYZ	https://ptxyz.com	60
78	MANDIRI20210047	Lomba 78	3	3	4	PT XYZ	https://ptxyz.com	71
79	MANDIRI20210048	Lomba 79	2	3	3	PT XYZ	https://ptxyz.com	70
80	MANDIRI20210048	Lomba 80	4	2	1	PT XYZ	https://ptxyz.com	78
81	MANDIRI20210049	Lomba 81	3	4	3	PT XYZ	https://ptxyz.com	79
82	MANDIRI20210049	Lomba 82	5	3	4	PT XYZ	https://ptxyz.com	87
83	MANDIRI20210051	Lomba 83	3	4	4	PT XYZ	https://ptxyz.com	77
84	MANDIRI20210051	Lomba 84	1	1	1	PT XYZ	https://ptxyz.com	78
85	MANDIRI20210052	Lomba 85	3	3	1	PT XYZ	https://ptxyz.com	64
86	MANDIRI20210052	Lomba 86	1	3	2	PT XYZ	https://ptxyz.com	73
87	MANDIRI20210053	Lomba 87	1	2	3	PT XYZ	https://ptxyz.com	87
88	MANDIRI20210053	Lomba 88	4	1	1	PT XYZ	https://ptxyz.com	64
89	MANDIRI20210056	Lomba 89	3	2	3	PT XYZ	https://ptxyz.com	61
90	MANDIRI20210056	Lomba 90	1	1	2	PT XYZ	https://ptxyz.com	75
91	MANDIRI20210057	Lomba 91	3	4	2	PT XYZ	https://ptxyz.com	57
92	MANDIRI20210057	Lomba 92	5	2	4	PT XYZ	https://ptxyz.com	86
93	MANDIRI20210058	Lomba 93	3	1	1	PT XYZ	https://ptxyz.com	78
94	MANDIRI20210058	Lomba 94	2	1	4	PT XYZ	https://ptxyz.com	76
95	MANDIRI20210059	Lomba 95	2	4	1	PT XYZ	https://ptxyz.com	68
96	MANDIRI20210059	Lomba 96	5	2	1	PT XYZ	https://ptxyz.com	90
97	MANDIRI20210060	Lomba 97	4	4	1	PT XYZ	https://ptxyz.com	64
98	MANDIRI20210060	Lomba 98	3	4	1	PT XYZ	https://ptxyz.com	71
99	MANDIRI20210061	Lomba 99	1	4	1	PT XYZ	https://ptxyz.com	84
100	MANDIRI20210061	Lomba 100	3	4	4	PT XYZ	https://ptxyz.com	50
101	MANDIRI20210062	Lomba 101	1	4	3	PT XYZ	https://ptxyz.com	80
102	MANDIRI20210062	Lomba 102	3	2	2	PT XYZ	https://ptxyz.com	81
103	MANDIRI20210064	Lomba 103	4	4	3	PT XYZ	https://ptxyz.com	77
104	MANDIRI20210064	Lomba 104	1	2	3	PT XYZ	https://ptxyz.com	56
105	MANDIRI20210065	Lomba 105	3	2	3	PT XYZ	https://ptxyz.com	86
106	MANDIRI20210065	Lomba 106	4	3	1	PT XYZ	https://ptxyz.com	82
107	MANDIRI20210066	Lomba 107	4	3	3	PT XYZ	https://ptxyz.com	65
108	MANDIRI20210066	Lomba 108	5	3	1	PT XYZ	https://ptxyz.com	56
109	MANDIRI20210067	Lomba 109	5	1	3	PT XYZ	https://ptxyz.com	89
110	MANDIRI20210067	Lomba 110	2	4	2	PT XYZ	https://ptxyz.com	59
111	MANDIRI20210068	Lomba 111	4	3	4	PT XYZ	https://ptxyz.com	58
112	MANDIRI20210068	Lomba 112	4	4	3	PT XYZ	https://ptxyz.com	50
113	MANDIRI20210069	Lomba 113	5	4	4	PT XYZ	https://ptxyz.com	67
114	MANDIRI20210069	Lomba 114	4	4	1	PT XYZ	https://ptxyz.com	68
115	MANDIRI20210070	Lomba 115	1	2	1	PT XYZ	https://ptxyz.com	76
116	MANDIRI20210070	Lomba 116	5	4	1	PT XYZ	https://ptxyz.com	80
117	MANDIRI20210071	Lomba 117	2	3	3	PT XYZ	https://ptxyz.com	76
118	MANDIRI20210071	Lomba 118	2	4	2	PT XYZ	https://ptxyz.com	79
119	MANDIRI20210073	Lomba 119	5	2	1	PT XYZ	https://ptxyz.com	64
120	MANDIRI20210073	Lomba 120	2	3	4	PT XYZ	https://ptxyz.com	75
121	MANDIRI20210074	Lomba 121	2	4	3	PT XYZ	https://ptxyz.com	74
122	MANDIRI20210074	Lomba 122	3	2	3	PT XYZ	https://ptxyz.com	66
123	MANDIRI20210078	Lomba 123	5	2	3	PT XYZ	https://ptxyz.com	81
124	MANDIRI20210078	Lomba 124	2	2	1	PT XYZ	https://ptxyz.com	60
125	MANDIRI20210079	Lomba 125	2	3	3	PT XYZ	https://ptxyz.com	62
126	MANDIRI20210079	Lomba 126	1	1	1	PT XYZ	https://ptxyz.com	59
127	MANDIRI20210080	Lomba 127	1	1	2	PT XYZ	https://ptxyz.com	89
128	MANDIRI20210080	Lomba 128	4	1	3	PT XYZ	https://ptxyz.com	89
129	MANDIRI20210081	Lomba 129	1	4	3	PT XYZ	https://ptxyz.com	80
130	MANDIRI20210081	Lomba 130	1	3	4	PT XYZ	https://ptxyz.com	86
131	MANDIRI20210082	Lomba 131	5	2	3	PT XYZ	https://ptxyz.com	64
132	MANDIRI20210082	Lomba 132	3	3	4	PT XYZ	https://ptxyz.com	80
133	MANDIRI20210085	Lomba 133	3	3	2	PT XYZ	https://ptxyz.com	77
134	MANDIRI20210085	Lomba 134	3	1	4	PT XYZ	https://ptxyz.com	56
135	MANDIRI20210086	Lomba 135	4	2	2	PT XYZ	https://ptxyz.com	76
136	MANDIRI20210086	Lomba 136	4	4	2	PT XYZ	https://ptxyz.com	50
137	MANDIRI20210087	Lomba 137	4	1	4	PT XYZ	https://ptxyz.com	65
138	MANDIRI20210087	Lomba 138	3	2	3	PT XYZ	https://ptxyz.com	64
139	MANDIRI20210088	Lomba 139	5	3	4	PT XYZ	https://ptxyz.com	60
140	MANDIRI20210088	Lomba 140	2	4	1	PT XYZ	https://ptxyz.com	51
141	MANDIRI20210089	Lomba 141	1	2	3	PT XYZ	https://ptxyz.com	80
142	MANDIRI20210089	Lomba 142	4	1	2	PT XYZ	https://ptxyz.com	52
143	MANDIRI20210092	Lomba 143	5	3	2	PT XYZ	https://ptxyz.com	80
144	MANDIRI20210092	Lomba 144	5	2	2	PT XYZ	https://ptxyz.com	64
145	MANDIRI20210093	Lomba 145	3	3	4	PT XYZ	https://ptxyz.com	53
146	MANDIRI20210093	Lomba 146	2	2	1	PT XYZ	https://ptxyz.com	73
147	MANDIRI20210094	Lomba 147	2	2	2	PT XYZ	https://ptxyz.com	52
148	MANDIRI20210094	Lomba 148	3	1	3	PT XYZ	https://ptxyz.com	87
149	MANDIRI20210095	Lomba 149	2	3	2	PT XYZ	https://ptxyz.com	50
150	MANDIRI20210095	Lomba 150	4	3	1	PT XYZ	https://ptxyz.com	67
151	MANDIRI20210096	Lomba 151	2	2	3	PT XYZ	https://ptxyz.com	53
152	MANDIRI20210096	Lomba 152	2	4	4	PT XYZ	https://ptxyz.com	53
153	MANDIRI20210097	Lomba 153	3	1	2	PT XYZ	https://ptxyz.com	67
154	MANDIRI20210097	Lomba 154	3	3	3	PT XYZ	https://ptxyz.com	72
155	MANDIRI20210098	Lomba 155	5	4	3	PT XYZ	https://ptxyz.com	71
156	MANDIRI20210098	Lomba 156	5	2	3	PT XYZ	https://ptxyz.com	68
157	MANDIRI20210099	Lomba 157	3	2	3	PT XYZ	https://ptxyz.com	57
158	MANDIRI20210099	Lomba 158	4	2	4	PT XYZ	https://ptxyz.com	88
159	MANDIRI20210101	Lomba 159	4	4	2	PT XYZ	https://ptxyz.com	73
160	MANDIRI20210101	Lomba 160	1	1	1	PT XYZ	https://ptxyz.com	86
161	MANDIRI20210103	Lomba 161	2	2	1	PT XYZ	https://ptxyz.com	86
162	MANDIRI20210103	Lomba 162	3	1	2	PT XYZ	https://ptxyz.com	79
163	MANDIRI20210104	Lomba 163	2	2	4	PT XYZ	https://ptxyz.com	62
164	MANDIRI20210104	Lomba 164	1	2	2	PT XYZ	https://ptxyz.com	65
165	MANDIRI20210105	Lomba 165	5	2	3	PT XYZ	https://ptxyz.com	88
166	MANDIRI20210105	Lomba 166	2	4	4	PT XYZ	https://ptxyz.com	87
167	MANDIRI20210106	Lomba 167	3	4	2	PT XYZ	https://ptxyz.com	55
168	MANDIRI20210106	Lomba 168	1	3	1	PT XYZ	https://ptxyz.com	87
169	MANDIRI20210107	Lomba 169	4	2	1	PT XYZ	https://ptxyz.com	84
170	MANDIRI20210107	Lomba 170	4	2	1	PT XYZ	https://ptxyz.com	57
171	MANDIRI20210109	Lomba 171	1	3	4	PT XYZ	https://ptxyz.com	75
172	MANDIRI20210109	Lomba 172	4	4	4	PT XYZ	https://ptxyz.com	50
173	MANDIRI20210110	Lomba 173	4	2	4	PT XYZ	https://ptxyz.com	69
174	MANDIRI20210110	Lomba 174	1	4	2	PT XYZ	https://ptxyz.com	78
175	MANDIRI20210111	Lomba 175	2	4	4	PT XYZ	https://ptxyz.com	86
176	MANDIRI20210111	Lomba 176	3	4	4	PT XYZ	https://ptxyz.com	66
177	MANDIRI20210112	Lomba 177	1	1	2	PT XYZ	https://ptxyz.com	58
178	MANDIRI20210112	Lomba 178	2	1	2	PT XYZ	https://ptxyz.com	51
179	MANDIRI20210113	Lomba 179	1	2	2	PT XYZ	https://ptxyz.com	63
180	MANDIRI20210113	Lomba 180	3	2	4	PT XYZ	https://ptxyz.com	60
181	MANDIRI20210114	Lomba 181	4	1	3	PT XYZ	https://ptxyz.com	87
182	MANDIRI20210114	Lomba 182	4	3	3	PT XYZ	https://ptxyz.com	72
183	MANDIRI20210115	Lomba 183	1	2	1	PT XYZ	https://ptxyz.com	90
184	MANDIRI20210115	Lomba 184	4	4	4	PT XYZ	https://ptxyz.com	63
185	MANDIRI20210116	Lomba 185	3	2	2	PT XYZ	https://ptxyz.com	53
186	MANDIRI20210116	Lomba 186	1	2	2	PT XYZ	https://ptxyz.com	62
187	MANDIRI20210117	Lomba 187	4	1	1	PT XYZ	https://ptxyz.com	86
188	MANDIRI20210117	Lomba 188	4	3	3	PT XYZ	https://ptxyz.com	79
189	MANDIRI20210119	Lomba 189	4	1	3	PT XYZ	https://ptxyz.com	76
190	MANDIRI20210119	Lomba 190	3	4	1	PT XYZ	https://ptxyz.com	87
191	MANDIRI20210120	Lomba 191	5	2	3	PT XYZ	https://ptxyz.com	81
192	MANDIRI20210120	Lomba 192	5	3	4	PT XYZ	https://ptxyz.com	79
193	MANDIRI20210121	Lomba 193	1	2	4	PT XYZ	https://ptxyz.com	79
194	MANDIRI20210121	Lomba 194	2	4	1	PT XYZ	https://ptxyz.com	83
195	MANDIRI20210122	Lomba 195	3	3	1	PT XYZ	https://ptxyz.com	62
196	MANDIRI20210122	Lomba 196	2	4	2	PT XYZ	https://ptxyz.com	90
197	MANDIRI20210123	Lomba 197	2	4	1	PT XYZ	https://ptxyz.com	77
198	MANDIRI20210123	Lomba 198	3	1	4	PT XYZ	https://ptxyz.com	73
199	MANDIRI20210124	Lomba 199	1	1	1	PT XYZ	https://ptxyz.com	72
200	MANDIRI20210124	Lomba 200	2	1	2	PT XYZ	https://ptxyz.com	52
201	MANDIRI20210126	Lomba 201	3	3	2	PT XYZ	https://ptxyz.com	69
202	MANDIRI20210126	Lomba 202	1	2	1	PT XYZ	https://ptxyz.com	85
203	MANDIRI20210127	Lomba 203	4	1	3	PT XYZ	https://ptxyz.com	66
204	MANDIRI20210127	Lomba 204	5	3	2	PT XYZ	https://ptxyz.com	61
205	MANDIRI20210128	Lomba 205	1	1	3	PT XYZ	https://ptxyz.com	50
206	MANDIRI20210128	Lomba 206	1	3	3	PT XYZ	https://ptxyz.com	73
207	MANDIRI20210129	Lomba 207	1	2	1	PT XYZ	https://ptxyz.com	67
208	MANDIRI20210129	Lomba 208	5	4	3	PT XYZ	https://ptxyz.com	67
209	MANDIRI20210131	Lomba 209	4	1	3	PT XYZ	https://ptxyz.com	85
210	MANDIRI20210131	Lomba 210	5	1	4	PT XYZ	https://ptxyz.com	89
211	MANDIRI20210133	Lomba 211	1	4	4	PT XYZ	https://ptxyz.com	79
212	MANDIRI20210133	Lomba 212	4	2	4	PT XYZ	https://ptxyz.com	66
213	MANDIRI20210134	Lomba 213	2	1	4	PT XYZ	https://ptxyz.com	83
214	MANDIRI20210134	Lomba 214	1	4	3	PT XYZ	https://ptxyz.com	62
215	MANDIRI20210135	Lomba 215	4	1	1	PT XYZ	https://ptxyz.com	73
216	MANDIRI20210135	Lomba 216	2	2	3	PT XYZ	https://ptxyz.com	74
217	MANDIRI20210136	Lomba 217	5	3	3	PT XYZ	https://ptxyz.com	65
218	MANDIRI20210136	Lomba 218	4	1	1	PT XYZ	https://ptxyz.com	75
219	MANDIRI20210137	Lomba 219	3	4	1	PT XYZ	https://ptxyz.com	85
220	MANDIRI20210137	Lomba 220	1	2	1	PT XYZ	https://ptxyz.com	79
221	MANDIRI20210138	Lomba 221	3	1	3	PT XYZ	https://ptxyz.com	57
222	MANDIRI20210138	Lomba 222	1	1	4	PT XYZ	https://ptxyz.com	89
223	MANDIRI20210139	Lomba 223	1	2	1	PT XYZ	https://ptxyz.com	78
224	MANDIRI20210139	Lomba 224	5	2	4	PT XYZ	https://ptxyz.com	82
225	MANDIRI20210140	Lomba 225	3	1	2	PT XYZ	https://ptxyz.com	56
226	MANDIRI20210140	Lomba 226	4	3	4	PT XYZ	https://ptxyz.com	56
227	MANDIRI20210141	Lomba 227	3	1	2	PT XYZ	https://ptxyz.com	54
228	MANDIRI20210141	Lomba 228	2	1	4	PT XYZ	https://ptxyz.com	58
229	MANDIRI20210142	Lomba 229	3	3	2	PT XYZ	https://ptxyz.com	62
230	MANDIRI20210142	Lomba 230	1	2	4	PT XYZ	https://ptxyz.com	60
231	MANDIRI20210144	Lomba 231	3	3	3	PT XYZ	https://ptxyz.com	63
232	MANDIRI20210144	Lomba 232	3	1	4	PT XYZ	https://ptxyz.com	84
233	MANDIRI20210145	Lomba 233	3	1	1	PT XYZ	https://ptxyz.com	69
234	MANDIRI20210145	Lomba 234	4	2	1	PT XYZ	https://ptxyz.com	85
235	MANDIRI20210146	Lomba 235	1	3	4	PT XYZ	https://ptxyz.com	85
236	MANDIRI20210146	Lomba 236	4	4	2	PT XYZ	https://ptxyz.com	58
237	MANDIRI20210147	Lomba 237	4	1	2	PT XYZ	https://ptxyz.com	70
238	MANDIRI20210147	Lomba 238	4	4	1	PT XYZ	https://ptxyz.com	59
239	MANDIRI20210148	Lomba 239	1	1	4	PT XYZ	https://ptxyz.com	74
240	MANDIRI20210148	Lomba 240	2	4	1	PT XYZ	https://ptxyz.com	69
241	MANDIRI20210151	Lomba 241	3	4	2	PT XYZ	https://ptxyz.com	74
242	MANDIRI20210151	Lomba 242	2	2	3	PT XYZ	https://ptxyz.com	51
243	MANDIRI20210154	Lomba 243	2	2	4	PT XYZ	https://ptxyz.com	86
244	MANDIRI20210154	Lomba 244	5	3	2	PT XYZ	https://ptxyz.com	57
245	MANDIRI20210155	Lomba 245	2	4	2	PT XYZ	https://ptxyz.com	77
246	MANDIRI20210155	Lomba 246	3	2	1	PT XYZ	https://ptxyz.com	60
247	MANDIRI20210156	Lomba 247	3	1	2	PT XYZ	https://ptxyz.com	73
248	MANDIRI20210156	Lomba 248	1	4	1	PT XYZ	https://ptxyz.com	65
249	MANDIRI20210157	Lomba 249	1	4	3	PT XYZ	https://ptxyz.com	75
250	MANDIRI20210157	Lomba 250	2	3	4	PT XYZ	https://ptxyz.com	87
251	MANDIRI20210159	Lomba 251	3	4	1	PT XYZ	https://ptxyz.com	77
252	MANDIRI20210159	Lomba 252	5	2	2	PT XYZ	https://ptxyz.com	72
253	MANDIRI20210160	Lomba 253	5	3	4	PT XYZ	https://ptxyz.com	86
254	MANDIRI20210160	Lomba 254	1	4	3	PT XYZ	https://ptxyz.com	51
255	MANDIRI20210161	Lomba 255	3	4	2	PT XYZ	https://ptxyz.com	86
256	MANDIRI20210161	Lomba 256	2	2	1	PT XYZ	https://ptxyz.com	59
257	MANDIRI20210162	Lomba 257	4	1	3	PT XYZ	https://ptxyz.com	56
258	MANDIRI20210162	Lomba 258	1	4	4	PT XYZ	https://ptxyz.com	62
259	MANDIRI20210163	Lomba 259	2	1	2	PT XYZ	https://ptxyz.com	61
260	MANDIRI20210163	Lomba 260	2	3	4	PT XYZ	https://ptxyz.com	88
261	MANDIRI20210164	Lomba 261	4	4	2	PT XYZ	https://ptxyz.com	51
262	MANDIRI20210164	Lomba 262	2	4	1	PT XYZ	https://ptxyz.com	82
263	MANDIRI20210165	Lomba 263	4	2	1	PT XYZ	https://ptxyz.com	74
264	MANDIRI20210165	Lomba 264	1	3	4	PT XYZ	https://ptxyz.com	76
265	MANDIRI20210166	Lomba 265	5	4	3	PT XYZ	https://ptxyz.com	52
266	MANDIRI20210166	Lomba 266	1	4	1	PT XYZ	https://ptxyz.com	64
267	MANDIRI20210167	Lomba 267	3	4	3	PT XYZ	https://ptxyz.com	65
268	MANDIRI20210167	Lomba 268	2	4	1	PT XYZ	https://ptxyz.com	72
269	MANDIRI20210168	Lomba 269	1	1	3	PT XYZ	https://ptxyz.com	58
270	MANDIRI20210168	Lomba 270	5	2	1	PT XYZ	https://ptxyz.com	90
271	MANDIRI20210169	Lomba 271	4	2	4	PT XYZ	https://ptxyz.com	85
272	MANDIRI20210169	Lomba 272	5	2	4	PT XYZ	https://ptxyz.com	84
273	MANDIRI20210170	Lomba 273	3	1	3	PT XYZ	https://ptxyz.com	75
274	MANDIRI20210170	Lomba 274	5	4	1	PT XYZ	https://ptxyz.com	50
275	MANDIRI20210171	Lomba 275	5	1	2	PT XYZ	https://ptxyz.com	78
276	MANDIRI20210171	Lomba 276	4	2	2	PT XYZ	https://ptxyz.com	60
277	MANDIRI20210173	Lomba 277	2	1	3	PT XYZ	https://ptxyz.com	78
278	MANDIRI20210173	Lomba 278	5	4	1	PT XYZ	https://ptxyz.com	71
279	MANDIRI20210174	Lomba 279	2	4	4	PT XYZ	https://ptxyz.com	87
280	MANDIRI20210174	Lomba 280	4	4	2	PT XYZ	https://ptxyz.com	73
281	MANDIRI20210175	Lomba 281	1	4	2	PT XYZ	https://ptxyz.com	87
282	MANDIRI20210175	Lomba 282	3	4	1	PT XYZ	https://ptxyz.com	55
283	MANDIRI20210176	Lomba 283	2	3	4	PT XYZ	https://ptxyz.com	74
284	MANDIRI20210176	Lomba 284	1	1	4	PT XYZ	https://ptxyz.com	58
285	MANDIRI20210177	Lomba 285	4	1	3	PT XYZ	https://ptxyz.com	60
286	MANDIRI20210177	Lomba 286	2	4	4	PT XYZ	https://ptxyz.com	53
287	MANDIRI20210178	Lomba 287	2	1	1	PT XYZ	https://ptxyz.com	51
288	MANDIRI20210178	Lomba 288	3	2	4	PT XYZ	https://ptxyz.com	70
289	MANDIRI20210179	Lomba 289	2	2	2	PT XYZ	https://ptxyz.com	53
290	MANDIRI20210179	Lomba 290	2	4	2	PT XYZ	https://ptxyz.com	86
291	MANDIRI20210181	Lomba 291	3	1	4	PT XYZ	https://ptxyz.com	50
292	MANDIRI20210181	Lomba 292	4	4	4	PT XYZ	https://ptxyz.com	54
293	MANDIRI20210182	Lomba 293	4	3	3	PT XYZ	https://ptxyz.com	80
294	MANDIRI20210182	Lomba 294	4	1	1	PT XYZ	https://ptxyz.com	90
295	MANDIRI20210183	Lomba 295	4	1	4	PT XYZ	https://ptxyz.com	51
296	MANDIRI20210183	Lomba 296	4	3	2	PT XYZ	https://ptxyz.com	55
297	MANDIRI20210184	Lomba 297	2	1	2	PT XYZ	https://ptxyz.com	51
298	MANDIRI20210184	Lomba 298	5	3	4	PT XYZ	https://ptxyz.com	65
299	MANDIRI20210186	Lomba 299	1	1	2	PT XYZ	https://ptxyz.com	69
300	MANDIRI20210186	Lomba 300	1	3	2	PT XYZ	https://ptxyz.com	83
301	MANDIRI20210188	Lomba 301	5	1	4	PT XYZ	https://ptxyz.com	57
302	MANDIRI20210188	Lomba 302	4	2	2	PT XYZ	https://ptxyz.com	88
303	MANDIRI20210189	Lomba 303	4	4	3	PT XYZ	https://ptxyz.com	51
304	MANDIRI20210189	Lomba 304	4	3	3	PT XYZ	https://ptxyz.com	82
305	MANDIRI20210190	Lomba 305	3	3	1	PT XYZ	https://ptxyz.com	60
306	MANDIRI20210190	Lomba 306	5	2	3	PT XYZ	https://ptxyz.com	69
307	MANDIRI20210191	Lomba 307	1	4	1	PT XYZ	https://ptxyz.com	62
308	MANDIRI20210191	Lomba 308	2	2	2	PT XYZ	https://ptxyz.com	56
309	MANDIRI20210192	Lomba 309	4	4	2	PT XYZ	https://ptxyz.com	58
310	MANDIRI20210192	Lomba 310	2	2	3	PT XYZ	https://ptxyz.com	64
311	MANDIRI20210193	Lomba 311	1	3	1	PT XYZ	https://ptxyz.com	79
312	MANDIRI20210193	Lomba 312	1	4	1	PT XYZ	https://ptxyz.com	74
313	MANDIRI20210194	Lomba 313	1	2	2	PT XYZ	https://ptxyz.com	70
314	MANDIRI20210194	Lomba 314	2	1	2	PT XYZ	https://ptxyz.com	51
315	MANDIRI20210195	Lomba 315	3	1	4	PT XYZ	https://ptxyz.com	59
316	MANDIRI20210195	Lomba 316	4	2	3	PT XYZ	https://ptxyz.com	86
